CODRE;NOMRE;NIVEL;COD_TCE;CODRENUMERO;NOMREC;VALIDO;TIPO;IMPORTADO;CODRE_ORIGEM;ENVIADO_TCE;CONTA_SICONFI;CORRELACIONADO;ALTERADO_TCE;N1;N2;N3;N4;N5;N6;N7;N8;N9;N10;PERMITE_DESDOBRO;N11;CONTA_MATRIZ;EXCLUIDO;PK_RECTAB;DB;
1000.00.0.0.00.00;RECEITAS CORRENTES.;1;;100000000000;RECEITAS CORRENTES;S;S;S;1000.00.0.0.00.00;;;;;1000.00.0.0.00.00;1000.00.0.0.00.00;1000.00.0.0.00.00;1000.00.0.0.00.00;1000.00.0.0.00.00;1000.00.0.0.00.00;1000.00.0.0.00.00;1000.00.0.0.00.00;1000.00.0.0.00.00;;;;;;24000000000000173;1;
1100.00.0.0.00.00;IMPOSTOS, TAXAS E CONTRIBUIÇÕES DE MELHORIA;2;;110000000000;IMPOSTOS, TAXAS E CONTRIBUIÇÕES DE MELHORIA;S;S;S;1100.00.0.0.00.00;;;;;1000.00.0.0.00.00;1100.00.0.0.00.00;1100.00.0.0.00.00;1100.00.0.0.00.00;1100.00.0.0.00.00;1100.00.0.0.00.00;1100.00.0.0.00.00;1100.00.0.0.00.00;1100.00.0.0.00.00;;;;;;24000000000000174;1;
1110.00.0.0.00.00;IMPOSTOS;3;;111000000000;IMPOSTOS;S;S;S;1110.00.0.0.00.00;;;;;1000.00.0.0.00.00;1100.00.0.0.00.00;1110.00.0.0.00.00;1110.00.0.0.00.00;1110.00.0.0.00.00;1110.00.0.0.00.00;1110.00.0.0.00.00;1110.00.0.0.00.00;1110.00.0.0.00.00;;;;;;24000000000000175;1;
1112.00.0.0.00.00;IMPOSTOS SOBRE O PATRIMÔNIO;4;;111200000000;IMPOSTOS SOBRE O PATRIMÔNIO;S;S;S;1112.00.0.0.00.00;;;;;1000.00.0.0.00.00;1100.00.0.0.00.00;1110.00.0.0.00.00;1112.00.0.0.00.00;1112.00.0.0.00.00;1112.00.0.0.00.00;1112.00.0.0.00.00;1112.00.0.0.00.00;1112.00.0.0.00.00;;;;;;24000000000000176;1;
1112.01.0.0.00.00;IMPOSTO SOBRE A PROPRIEDADE TERRITORIAL RURAL;5;;111201000000;IMPOSTO SOBRE A PROPRIEDADE TERRITORIAL RURAL;S;S;S;1112.01.0.0.00.00;;;;;1000.00.0.0.00.00;1100.00.0.0.00.00;1110.00.0.0.00.00;1112.00.0.0.00.00;1112.01.0.0.00.00;1112.01.0.0.00.00;1112.01.0.0.00.00;1112.01.0.0.00.00;1112.01.0.0.00.00;;;;;;24000000000000177;1;
1112.01.1.0.00.00;ITR - MUNICÍPIOS CONVENIADO;6;;111201100000;IMPOSTO SOBRE A PROPRIEDADE TERRITORIAL RURAL – MUNICÍPIOS CONVENIADOS;S;S;S;1112.01.1.0.00.00;;;;;1000.00.0.0.00.00;1100.00.0.0.00.00;1110.00.0.0.00.00;1112.00.0.0.00.00;1112.01.0.0.00.00;1112.01.1.0.00.00;1112.01.1.0.00.00;1112.01.1.0.00.00;1112.01.1.0.00.00;;;;;;24000000000000178;1;
1112.01.1.1.00.00;ITR - MUNICÍPIOS CONVENIADO - PRINCIPAL;7;;111201110000;IMPOSTO SOBRE A PROPRIEDADE TERRITORIAL RURAL – MUNICÍPIOS CONVENIADOS – PRINCIPAL;S;A;S;1112.01.1.1.00.00;;;;;1000.00.0.0.00.00;1100.00.0.0.00.00;1110.00.0.0.00.00;1112.00.0.0.00.00;1112.01.0.0.00.00;1112.01.1.0.00.00;1112.01.1.1.00.00;1112.01.1.1.00.00;1112.01.1.1.00.00;;;;;;24000000000000179;1;
1112.01.1.2.00.00;ITR - MUNICÍPIOS CONVENIADO- MULTAS E JUROS;7;;111201120000;IMPOSTO SOBRE A PROPRIEDADE TERRITORIAL RURAL – MUNICÍPIOS CONVENIADOS – MULTAS E JUROS;S;A;S;1112.01.1.2.00.00;;;;;1000.00.0.0.00.00;1100.00.0.0.00.00;1110.00.0.0.00.00;1112.00.0.0.00.00;1112.01.0.0.00.00;1112.01.1.0.00.00;1112.01.1.2.00.00;1112.01.1.2.00.00;1112.01.1.2.00.00;;;;;;24000000000000180;1;
1112.01.1.3.00.00;ITR - MUNICÍPIOS CONVENIADO- DIVIDA ATIVA;7;;111201130000;IMPOSTO SOBRE A PROPRIEDADE TERRITORIAL RURAL – MUNICÍPIOS CONVENIADOS – DÍVIDA ATIVA;S;A;S;1112.01.1.3.00.00;;;;;1000.00.0.0.00.00;1100.00.0.0.00.00;1110.00.0.0.00.00;1112.00.0.0.00.00;1112.01.0.0.00.00;1112.01.1.0.00.00;1112.01.1.3.00.00;1112.01.1.3.00.00;1112.01.1.3.00.00;;;;;;24000000000000181;1;
1112.01.1.4.00.00;ITR - MUNICÍPIOS CONVENIADOS- DIVIDA ATIVA MULTAS JUROS;7;;111201140000;IMPOSTO SOBRE A PROPRIEDADE TERRITORIAL RURAL – MUNICÍPIOS CONVENIADOS – DÍVIDA ATIVA – MULTAS E JUROS;S;A;S;1112.01.1.4.00.00;;;;;1000.00.0.0.00.00;1100.00.0.0.00.00;1110.00.0.0.00.00;1112.00.0.0.00.00;1112.01.0.0.00.00;1112.01.1.0.00.00;1112.01.1.4.00.00;1112.01.1.4.00.00;1112.01.1.4.00.00;;;;;;24000000000000182;1;
1112.01.1.5.00.00;ITR - MUNICÍPIOS CONVENIADO- MULTAS;7;;111201150000;IMPOSTO SOBRE A PROPRIEDADE TERRITORIAL RURAL – MUNICÍPIOS CONVENIADOS – MULTAS COM DESTINAÇÃO DIFERENCIADA POR LEGISLAÇÃO PERTINENTE;S;A;S;1112.01.1.5.00.00;;;;;1000.00.0.0.00.00;1100.00.0.0.00.00;1110.00.0.0.00.00;1112.00.0.0.00.00;1112.01.0.0.00.00;1112.01.1.0.00.00;1112.01.1.5.00.00;1112.01.1.5.00.00;1112.01.1.5.00.00;;;;;;24000000000000183;1;
1112.01.1.6.00.00;ITR - MUNICÍPIOS CONVENIADO- JUROS;7;;111201160000;IMPOSTO SOBRE A PROPRIEDADE TERRITORIAL RURAL – MUNICÍPIOS CONVENIADOS – JUROS COM DESTINAÇÃO DIFERENCIADA POR LEGISLAÇÃO PERTINENTE;S;A;S;1112.01.1.6.00.00;;;;;1000.00.0.0.00.00;1100.00.0.0.00.00;1110.00.0.0.00.00;1112.00.0.0.00.00;1112.01.0.0.00.00;1112.01.1.0.00.00;1112.01.1.6.00.00;1112.01.1.6.00.00;1112.01.1.6.00.00;;;;;;24000000000000184;1;
